line_no,raw,type,start,end,length_mm,estimated_time_sec,warnings,feedrate,feed_mode,spindle_speed,feed_unit,effective_feed_mm_min,feed_capped,plane,direction,tool_id,event,reference_code,reference_axes,phase2_entry_velocity_mm_s,phase2_exit_velocity_mm_s,phase2_peak_velocity_mm_s,phase2_v_cap_mm_s,phase2_a_cap_mm_s2,phase2_j_cap_mm_s3,phase2_profile_type,phase2_slowdown_ratio,phase2_bottleneck_reason,phase2_segment_count
39,X-3.239 Y50.257 I3.491 J0.252 F10000,arc,"-6.981, 53.495, 175.801","-3.239, 50.257, 175.801",5.496153056953358,0.1613056240101816,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G03,,,,,35.90104619551698,30.74206476231015,35.90104619551708,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,5.317852372747116,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,8
40,X0.000 Y54.000 I-0.252 J3.491 F10000,arc,"-3.239, 50.257, 175.801","0, 54, 175.801",5.497918415907956,0.2746636345430329,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G03,,,,,30.74206476231015,1.6706306795731782,30.742064762310232,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,18.56905262737879,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,8
41,G00 Z300.000,rapid,"0, 54, 175.801","0, 54, 300",124.19900000000001,1.6914849324609629,,,,,,,,,,,,,,1.6706306795731782,0.0,83.33333333333333,83.33333333333333,800.0,8000.0,full_s_curve_with_cruise,2.2698584965270285,acceleration or jerk limited; axis velocity limit; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,1
42,S10000 M03,spindle_event,,,0.0,2.0,,,,,,,,,,,spindle_start,,,,,,,,,,,,0
43,X53.720 Y115.664,rapid,"0, 54, 300","53.72, 115.664, 300",81.78194969551656,0.7146046604407027,,,,,,,,,,,,,,0.0,1.6706306795731782,166.66666666666666,166.66666666666666,1326.2511302464413,13262.511302464412,full_s_curve_with_cruise,1.4563210730918346,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction,1
44,Z256.535,rapid,"53.72, 115.664, 300","53.72, 115.664, 256.535",43.464999999999975,0.6574491161963272,,,,,,,,,,,,,,1.6706306795731782,41.075148597569424,83.33333333333333,83.33333333333333,800.0,8000.0,full_s_curve_with_cruise,2.520990514192751,acceleration or jerk limited; axis velocity limit; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,1
45,G01 Z253.535 F10000,linear,"53.72, 115.664, 256.535","53.72, 115.664, 253.535",3.0000000000000284,0.14036473545373912,,10000.0,G94,10000.0,mm_per_min,10000.0,False,,,,,,,41.075148597569424,1.6706306795731782,41.07514859756951,166.66666666666666,800.0,8000.0,degraded_s_curve_no_cruise,7.798040858540988,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,1
46,G03 X49.225 Y126.046 I-7.439 J2.944,arc,"53.72, 115.664, 253.535","49.225, 126.046, 253.535",12.565847324231603,0.4129424929023079,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G03,,,,,1.6706306795731782,46.51284963617024,46.512849636170294,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,14.258319851920042,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,12
47,G02 X44.169 Y130.714 I2.374 J7.643,arc,"49.225, 126.046, 253.535","44.169, 130.714, 253.535",7.113198285340978,0.1416412190657229,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G02,,,,,46.51284963617024,53.68993123147909,53.689931231479164,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,3.5390186637017753,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,7
48,X42.756 Y135.509 I22.326 J9.187,arc,"44.169, 130.714, 253.535","42.756, 135.509, 253.535",5.007832605294174,0.08789281720877545,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G02,,,,,53.68993123147909,60.13365837065608,60.13365837065612,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,3.0387368704010687,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,3
